Datas,Casos_total,Casos_dia,Obitos,Letalidade
17/03/20,0,0,0,0
18/03/20,1,1,0,0
19/03/20,1,0,0,0
20/03/20,2,1,0,0
21/03/20,2,0,0,0
22/03/20,4,2,0,0
23/03/20,5,1,0,0
24/03/20,5,0,0,0
25/03/20,9,4,0,0
26/03/20,13,4,0,0
27/03/20,16,3,0,0
28/03/20,18,2,0,0
29/03/20,19,1,0,0
30/03/20,26,7,0,0
31/03/20,34,8,0,0
01/04/20,41,7,1,"2,4390243902439"
02/04/20,48,7,1,"2,08333333333333"
03/04/20,75,27,1,"1,33333333333333"
04/04/20,82,7,1,"1,21951219512195"
05/04/20,86,4,2,"2,32558139534884"
06/04/20,123,37,4,"3,2520325203252"
07/04/20,154,31,5,"3,24675324675325"
08/04/20,165,11,6,"3,63636363636364"
09/04/20,169,4,7,"4,14201183431953"
10/04/20,217,48,9,"4,14746543778802"
11/04/20,236,19,11,"4,66101694915254"
12/04/20,251,15,14,"5,57768924302789"
13/04/20,310,59,14,"4,51612903225806"
14/04/20,384,74,21,"5,46875"
15/04/20,487,103,21,"4,31211498973306"
16/04/20,557,70,26,"4,66786355475763"
17/04/20,627,70,32,"5,103668261563"
18/04/20,641,14,33,"5,14820592823713"
19/04/20,684,43,34,"4,97076023391813"
20/04/20,902,218,35,"3,88026607538803"
21/04/20,1026,124,38,"3,7037037037037"
22/04/20,1195,169,43,"3,59832635983264"
23/04/20,1267,72,53,"4,18310970797159"
24/04/20,1579,312,86,"5,44648511716276"
25/04/20,1745,166,95,"5,44412607449857"
26/04/20,2070,325,114,"5,50724637681159"
27/04/20,2219,149,122,"5,49797205948626"
28/04/20,2319,100,132,"5,69210866752911"
29/04/20,2585,266,156,"6,03481624758221"
30/04/20,2999,414,224,"7,46915638546182"
01/05/20,3359,360,263,"7,82971122357845"
02/05/20,3727,368,306,"8,21035685537966"
03/05/20,4055,328,320,"7,89149198520345"
04/05/20,4262,207,344,"8,07132801501642"
05/05/20,4756,494,375,"7,8847771236333"
06/05/20,5524,768,410,"7,42215785662563"
07/05/20,5935,411,488,"8,22240943555181"
08/05/20,6519,584,574,"8,80503144654088"
09/05/20,7018,499,610,"8,69193502422343"
10/05/20,7348,330,672,"9,14534567229178"
11/05/20,8069,721,812,"10,0632048580989"
12/05/20,9059,990,914,"10,0894138425875"
13/05/20,10344,1285,1022,"9,88012374323279"
14/05/20,11479,1135,1095,"9,53915846328077"
15/05/20,12626,1147,1175,"9,30619356882623"
16/05/20,13464,838,1223,"9,08348187759952"
17/05/20,14201,737,1280,"9,01344975705936"
18/05/20,15467,1266,1392,"8,99980603866296"
19/05/20,17177,1710,1554,"9,0469814286546"
20/05/20,18929,1752,1778,"9,39299487558772"
21/05/20,20532,1603,1893,"9,2197545295149"
22/05/20,22697,2165,2003,"8,82495483984668"
23/05/20,24125,1428,2150,"8,9119170984456"
24/05/20,24815,690,2290,"9,22828934112432"
25/05/20,27366,2551,2431,"8,88328582913104"
26/05/20,29882,2516,2522,"8,43986346295429"
27/05/20,31671,1789,2605,"8,22519023712545"
28/05/20,35132,3461,2785,"7,92724581578048"
29/05/20,37296,2164,2900,"7,77563277563278"
30/05/20,37859,563,2920,"7,71282918196466"
31/05/20,38046,187,2925,"7,68806181990222"
01/06/20,41207,3161,3040,"7,37738733710292"
02/06/20,43652,2445,3144,"7,20241913314396"
03/06/20,46473,2821,3245,"6,98254900695027"
04/06/20,49473,3000,3492,"7,05839548844824"
05/06/20,52623,3150,3573,"6,78980673849837"
06/06/20,53860,1237,3665,"6,8046787968808"
07/06/20,54798,938,3714,"6,77761962115406"
08/06/20,57570,2772,3835,"6,66145561924614"
09/06/20,60636,3066,3898,"6,51416785013863"
10/06/20,63405,2769,3980,"6,27710748363694"
